item	text	full_item
91	Ich zeige meine Gefühle nicht so deutlich.	91
92	Ich bin sehr leicht reizbar.	92
93	Ich befürchte häufig, dass aufgrund meiner Fehler in der Vergangenheit etwas Schlimmes passieren wird.	93
94	Ich habe ein paar ungewöhnliche Fähigkeiten; zum Beispiel weiß ich manchmal genau, was jemand anderes denkt.	94
95	Ich werde sehr nervös, wenn ich über die Zukunft nachdenke.	95
96	Ich mache mir selten Sorgen.	96
97	Ich genieße es, verliebt zu sein.	97
98	Ich gehe lieber auf Nummer sicher, als unnötige Risiken einzugehen.	98
99	Ich habe manchmal Dinge gehört, die andere nicht hören konnten.	99
100	Ich fixiere mich auf bestimmte Dinge und kann mich dann nicht mehr davon losreißen.	100
101	Andere sagen mir, dass sie nur schwer einschätzen können, was ich fühle.	101
102	Ich bin eine hochemotionale Person.	102
103	Andere würden mich ausnutzen, wenn sie könnten.	103
104	Ich fühle mich oft als Versager.	104
105	Wenn etwas, das ich tue, nicht absolut perfekt ist, kann ich es einfach nicht akzeptieren.	105
106	Ich habe oft ungewöhnliche Erlebnisse; zum Beispiel spüre ich die Gegenwart von jemandem, der nicht wirklich da ist.	106
107	Ich kann Leute gut dazu bringen, das zu tun, was ich will.	107
108	Ich beende Beziehungen, wenn sie enger werden.	108
109	Ich mache mir ständig über irgendetwas Sorgen.	109
110	Ich mache mir über fast alles Sorgen.	110
111	Ich rage gern aus der Masse heraus.	111
112	Es macht mir nichts aus, öfter mal ein bisschen Risiko einzugehen.	112
113	Mein Verhalten ist oft provokant und erregt die Aufmerksamkeit anderer.	113
114	Ich bin besser als fast alle anderen.	114
115	Andere beschweren sich darüber, dass bei mir alles genau durchgeplant sein muss.	115
116	Ich sorge immer dafür, dass ich es Leuten heimzahle, die mir Unrecht tun.	116
117	Ich bin immer auf der Hut vor Leuten, die mich vielleicht hereinlegen oder schädigen wollen.	117
118	Es fällt mir schwer, mich auf das zu konzentrieren, was gerade ansteht.	118
119	Ich rede viel von Selbstmord.	119
120	Ich bin einfach nicht besonders an sexuellen Beziehungen interessiert.	120
121	Ich beiße mich häufig an Dingen fest.	121
122	Ich werde schnell emotional, oft aus geringstem Anlass.	122
123	Auch wenn es andere zum Wahnsinn treibt, bestehe ich darauf, alles perfekt zu machen.	123
124	Ich bin fast nie glücklich mit dem, was ich im Alltag so tue.	124
125	Indem ich mich bei anderen einschmeichle, bekomme ich leichter, was ich will.	125
126	Manchmal muss man vor anderen übertreiben, um weiterzukommen.	126
127	Vor nichts im Leben fürchte ich mich so sehr wie vor dem Alleinsein.	127
128	Ich halte an einer bestimmten Herangehensweise fest, auch wenn klar ist, dass es so nicht funktionieren wird.	128
129	Ich gehe oft ziemlich nachlässig mit meinen Sachen und denen anderer um.	129
130	Ich bin eine sehr ängstliche Person.	130
131	Menschen sind grundsätzlich vertrauenswürdig.	131
132	Ich lasse mich leicht ablenken.	132
133	Es kommt mir so vor, als ob ich von anderen immer ungerecht behandelt werde.	133
134	Wenn es mir weiterhilft, täusche ich andere ohne zu zögern.	134
135	Ich überprüfe Dinge mehrmals, um sicherzugehen, dass sie perfekt sind.	135
136	Ich mag es nicht, Zeit mit anderen zu verbringen.	136
137	Ich fühle mich oft verpflichtet, mit etwas weiterzumachen, auch wenn es nur wenig Sinn ergibt.	137
138	Ich weiß nie, wie sich meine Gefühle von jetzt auf gleich verändern werden.	138
139	Ich habe schon mal Dinge gesehen, die nicht wirklich da waren.	139
140	Es ist mir wichtig, dass Dinge auf eine ganz bestimmte Weise erledigt werden.	140
141	Ich erwarte immer das Schlimmste.	141
142	Ich versuche, die Wahrheit zu sagen, auch wenn es schwierig ist.	142
143	Ich glaube, dass manche Menschen Gegenstände mittels ihrer Gedanken bewegen können.	143
144	Ich kann mich nicht besonders lange auf etwas konzentrieren.	144
145	Ich gehe Liebesbeziehungen aus dem Weg.	145
146	Ich habe kein Interesse daran, Freundschaften zu schließen.	146
147	Ich sage so wenig wie möglich, wenn ich mit Menschen zu tun habe.	147
148	Ich bin eine nutzlose Person.	148
149	Ich würde so ziemlich alles tun, um jemand davon abzuhalten, mich zu verlassen.	149
150	Manchmal kann ich andere Leute durch Gedankenübertragung beeinflussen.	150
151	Das Leben kommt mir ziemlich trostlos vor.	151
152	Ich denke über Dinge in einer ungewöhnlichen Weise nach, die für die meisten Leute keinen Sinn ergibt.	152
153	Es ist mir egal, ob ich durch mein Handeln andere verletze.	153
154	Manchmal fühle ich mich von Gedanken „kontrolliert“, die jemand anderem gehören.	154
155	Ich koste das Leben richtig aus.	155
156	Ich mache Versprechungen, die ich nicht wirklich einzuhalten vorhabe.	156
157	Nichts scheint mir richtig Spaß zu machen.	157
158	Ich bin schnell von allen möglichen Dingen genervt.	158
159	Ich mache, was ich will, egal wie riskant es vielleicht ist.	159
160	Ich vergesse oft, meine Rechnungen zu bezahlen.	160
161	Zu viel Nähe zu anderen Menschen ist mir unangenehm.	161
162	Ich bin gut darin, Leute reinzulegen.	162
163	Mir kommt alles sinnlos vor.	163
164	Ich gehe niemals Risiken ein.	164
165	Ich werde wegen jeder Kleinigkeit emotional.	165
166	Es ist nichts dabei, wenn ich die Gefühle anderer verletze.	166
167	Ich zeige anderen gegenüber niemals Gefühle.	167
168	Ich fühle mich häufig einfach nur elend.	168
169	Ich bin als Person wertlos.	169
170	Ich bin normalerweise ziemlich feindselig.	170
171	Ich bin schon mal abgehauen, um keine Verantwortung übernehmen zu müssen.	171
172	Mir wurde schon mehr als einmal gesagt, dass ich ein paar seltsame Macken oder Angewohnheiten habe.	172
173	Ich mag es, jemand zu sein, der auffällt.	173
174	Ich bin ständig ängstlich oder nervös, weil etwas Schlimmes passieren könnte.	174
175	Ich will niemals allein sein.	175
176	Ich versuche Dinge weiter zu perfektionieren, auch wenn ich sie wahrscheinlich schon so gut wie möglich hinbekommen habe.	176
177	Ich habe fast nie das Gefühl, dass Leute, die ich kenne, mich ausnutzen wollen.	177
178	Ich weiß, dass ich früher oder später Selbstmord begehen werde.	178
179	Ich habe viel mehr erreicht als fast alle, die ich kenne.	179
180	Ich kann auf jeden Fall meinen Charme spielen lassen, wenn ich meinen Willen durchsetzen möchte.	180
181	Meine Gefühle sind unvorhersehbar.	181
182	Ich gebe mich nicht mit Menschen ab, außer wenn ich es muss.	182
183	Die Probleme anderer Menschen sind mir egal.	183
184	Ich reagiere kaum auf Dinge, bei denen andere offenbar emotional werden.	184
185	Ich habe mehrere Angewohnheiten, die andere exzentrisch oder seltsam finden.	185
186	Ich meide Veranstaltungen mit vielen Menschen.	186
187	Es steht mir zu, besonders behandelt zu werden.	187
188	Selbst kleinste Beleidigungen machen mich richtig wütend.	188
189	Ich bin selten von irgendetwas begeistert.	189
190	Ich vermute, dass mich sogar meine sogenannten „Freunde“ häufig hintergehen.	190
191	Ich bin verrückt nach Aufmerksamkeit.	191
192	Manchmal kommt es mir vor, als würde jemand Gedanken aus meinem Kopf entfernen.	192
193	Ich habe Phasen, in denen ich mich von der Welt oder von mir selbst abgeschnitten fühle.	193
194	Ich sehe zwischen den Dingen oft ungewöhnliche Zusammenhänge, die anderen Menschen entgehen.	194
195	Ich denke nicht darüber nach, dass ich verletzt werden könnte, wenn ich etwas tue, das vielleicht gefährlich ist.	195
196	Ich ertrage es einfach nicht, wenn Dinge nicht da sind, wo sie hingehören.	196
197	Ich muss mich oft mit Leuten beschäftigen, die weniger wichtig sind als ich.	197
198	Manchmal schlage ich andere, um ihnen klarzumachen, wer das Sagen hat.	198
199	Ich werde selbst von kleineren Ablenkungen aus Aufgaben herausgerissen.	199
200	Es macht mir Spaß, Personen in Führungspositionen dumm aussehen zu lassen.	200
201	Ich lasse Verabredungen oder Treffen einfach ausfallen, wenn ich nicht in der Stimmung dafür bin.	201
202	Ich versuche, das zu tun, was andere von mir verlangen.	202
203	Ich bin lieber allein, als eine enge Liebesbeziehung mit jemandem zu haben.	203
204	Ich bin sehr impulsiv.	204
205	Ich habe oft Gedanken, die für mich Sinn ergeben, aber anderen Leuten seltsam erscheinen.	205
206	Ich benutze Menschen, um zu bekommen, was ich will.	206
207	Ich sehe keinen Sinn darin, mich wegen Dingen schuldig zu fühlen, durch die ich andere verletzt habe.	207
208	Meistens sehe ich keinen Sinn darin, freundlich zu sein.	208
209	Ich hatte einige wirklich seltsame Erlebnisse, die sehr schwer zu erklären sind.	209
210	Ich halte mich an Vereinbarungen.	210
211	Ich mag es, Aufmerksamkeit auf mich zu ziehen.	211
212	Ich fühle mich die meiste Zeit schuldig.	212
213	Ich vergesse häufig alles um mich herum, komme dann plötzlich zu mir, und stelle fest, dass viel Zeit vergangen ist.	213
214	Lügen fällt mir leicht.	214
215	Ich hasse es, Risiken einzugehen.	215
216	Ich bin gemein und grob zu jedem, der es verdient.	216
217	Die Dinge um mich herum fühlen sich oft unwirklich oder realer als sonst an.	217
218	Ich biege mir die Wahrheit zurecht, wenn es zu meinem Vorteil ist.	218
219	Es fällt mir leicht, andere auszunutzen.	219
220	Ich habe für viele alltägliche Verhaltensweisen strikte Regeln.	220
