item	text	full_item
155	I really live life to the fullest.	155
156	I make promises that I don't really intend to keep.	156
157	Nothing seems to make me feel good.	157
158	I get irritated easily by all sorts of things.	158
159	I do what I want regardless of how unsafe it might be.	159
160	I often forget to pay my bills.	160
161	I don’t like to get too close to people.	161
162	I'm good at conning people.	162
163	Everything seems pointless to me.	163
164	I never take risks.	164
165	I get emotional over every little thing.	165
166	It's no big deal if I hurt other peoples' feelings.	166
167	I never show emotions to others.	167
168	I often feel just miserable.	168
169	I have no worth as a person.	169
170	I am usually pretty hostile.	170
171	I've skipped town to avoid responsibilities.	171
172	I've been told more than once that I have a number of odd quirks or habits.	172
173	I like being a person who gets noticed.	173
174	I'm always fearful or on edge about bad things that might happen.	174
175	I never want to be alone.	175
176	I keep trying to make things perfect, even when I've gotten them as good as they're likely to get.	176
177	I rarely feel that people I know are trying to take advantage of me.	177
178	I know I'll commit suicide sooner or later.	178
179	I've achieved far more than almost anyone I know.	179
180	I can certainly turn on the charm if I need to get my way.	180
181	My emotions are unpredictable.	181
182	I don't deal with people unless I have to.	182
183	I don’t care about other peoples’ problems.	183
184	I don't react much to things that seem to make others emotional.	184
185	I have several habits that others find eccentric or strange.	185
186	I avoid social events.	186
187	I deserve special treatment.	187
188	It makes me really angry when people insult me in even a minor way.	188
189	I rarely get enthusiastic about anything.	189
190	I suspect that even my so-called “friends” betray me a lot.	190
191	I crave attention.	191
192	Sometimes I think someone else is removing thoughts from my head.	192
193	I have periods in which I feel disconnected from the world or from myself.	193
194	I often see unusual connections between things that most people miss.	194
195	I don't think about getting hurt when I'm doing things that might be dangerous.	195
196	I simply won't put up with things being out of their proper places.	196
197	I often have to deal with people who are less important than me.	197
198	I sometimes hit people to remind them who's in charge	198
199	I get pulled off-task by even minor distractions.	199
200	I enjoy making people in control look stupid.	200
201	I just skip appointments or meetings if I'm not in the mood.	201
202	I try to do what others want me to do.	202
203	I prefer being alone to having a close romantic partner.	203
204	I am very impulsive.	204
205	I often have thoughts that make sense to me but that other people say are strange.	205
206	I use people to get what I want.	206
207	I don't see the point in feeling guilty about things I've done that have hurt other people.	207
208	Most of the time I don't see the point in being friendly.	208
209	I've had some really weird experiences that are very difficult to explain.	209
210	I follow through on commitments.	210
211	I like to draw attention to myself.	211
212	I feel guilty much of the time.	212
213	I often "zone out" and then suddenly come to and realize that a lot of time has passed.	213
214	Lying comes easily to me.	214
215	I hate to take chances.	215
216	I'm nasty and short to anybody who deserves it.	216
217	Things around me often feel unreal, or more real than usual.	217
218	I'll stretch the truth if it's to my advantage.	218
219	It is easy for me to take advantage of others.	219
220	I have a strict way of doing things.	220
